Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Anopheles funestus" 1 0 Inf 0 8333701 Absent Absent
"Ictalurus furcatus" 1 0 Inf 2 1072 Absent Present
"Ornithorhynchus anatinus" 2 0 Inf 4 209 Absent Present
"Epinephelus fuscoguttatus" 1 0 Inf 2 0 Absent Present
"Serinus canaria" 3 0 Inf 6 24 Absent Present
"Perca fluviatilis" 2 0 Inf 4 7202 Absent Present
"Salvia hispanica" 1 2 7126 0 4831737 Present Absent
"Mirounga angustirostris" 2 0 Inf 4 219 Absent Present
"Falco peregrinus" 3 0 Inf 6 0 Absent Present
"Hirundo rustica" 2 0 15906613 4 12048 Absent Present
"Prionailurus bengalensis" 1 0 Inf 2 9934 Absent Present
"Pan paniscus" 2 0 Inf 4 0 Absent Present
"Mercenaria mercenaria" 2 0 Inf 4 0 Absent Present
"Solanum dulcamara" 1 2 291 0 7766006 Present Absent
"Anopheles aquasalis" 1 0 1863417 0 9504792 Absent Absent
"Thunnus albacares" 1 0 Inf 2 1340 Absent Present
"Hydractinia symbiolongicarpus" 1 0 Inf 2 108 Absent Present
"Chanos chanos" 1 0 Inf 2 7231 Absent Present
"Falco cherrug" 3 0 Inf 6 0 Absent Present
"Caretta caretta" 2 0 Inf 2 0 Absent Present
"Scatophagus argus" 1 0 Inf 2 5978 Absent Present
"Melopsittacus undulatus" 3 0 Inf 6 0 Absent Present
"Calypte anna" 4 0 Inf 8 0 Absent Present
"Nomascus leucogenys" 1 0 Inf 2 10216 Absent Present
"Venturia canescens" 1 0 Inf 0 4103730 Absent Absent
"Drosophila willistoni" 3 0 Inf 0 Inf Absent Absent
"Pectinophora gossypiella" 2 0 Inf 0 Inf Absent Absent
"Electrophorus electricus" 2 0 Inf 4 1207 Absent Present
"Anabas testudineus" 1 0 Inf 2 712 Absent Present
"Polypterus senegalus" 2 0 Inf 4 4161 Absent Present
"Tripterygium wilfordii" 2 4 270 0 Inf Present Absent
"Solea solea" 2 0 Inf 4 0 Absent Present
"Diospyros lotus" 1 2 276 0 6480343 Present Absent
"Salvelinus namaycush" 1 0 Inf 2 26539 Absent Present
"Strongyloides ratti" 2 0 Inf 0 4077446 Absent Absent
"Alosa sapidissima" 1 0 Inf 2 1171 Absent Present
"Dreissena polymorpha" 4 0 Inf 2 38995 Absent Present
"Panicum hallii" 2 4 306 0 13341286 Present Absent
"Clupea harengus" 2 0 Inf 4 1586 Absent Present
"Acipenser ruthenus" 13 0 Inf 12 141 Absent Present
"Penaeus chinensis" 1 0 Inf 2 11346 Absent Present
"Bactrocera tryoni" 1 0 Inf 0 Inf Absent Absent
"Physeter catodon" 8 0 Inf 12 0 Absent Present
"Pochonia chlamydosporia 170" 2 0 Inf 0 902858 Absent Absent
"Perognathus longimembris pacificus" 2 0 Inf 4 1243 Absent Present
"Leishmania mexicana MHOM/GT/2001/U1103" 2 0 Inf 0 1792472 Absent Absent
"Anastrepha obliqua" 1 0 Inf 0 42380779 Absent Absent
"Eublepharis macularius" 2 0 Inf 4 0 Absent Present
"Panthera leo" 1 0 37420588 2 10109 Absent Present
"Orcinus orca" 4 0 Inf 8 0 Absent Present
"Myxocyprinus asiaticus" 2 0 Inf 4 2091 Absent Present
"Clarias gariepinus" 1 0 Inf 2 8198 Absent Present
"Zalophus californianus" 2 0 Inf 4 0 Absent Present
"Lutra lutra" 1 0 Inf 2 12689 Absent Present
"Thunnus maccoyii" 1 0 Inf 2 6435 Absent Present
"Anopheles albimanus" 1 0 1265127 0 7207691 Absent Absent
"Pieris brassicae" 5 0 Inf 0 1406013 Absent Absent
"Cuculus canorus" 3 0 Inf 6 0 Absent Present
"Schistosoma haematobium" 14 0 Inf 0 4473831 Absent Absent
"Pararge aegeria" 4 0 Inf 0 Inf Absent Absent
"Dryobates pubescens" 3 0 Inf 6 0 Absent Present
"Potentilla anserina" 3 4 0 0 7567394 Present Absent
"Accipiter gentilis" 2 0 Inf 4 0 Absent Present
"Falco rusticolus" 2 0 Inf 4 0 Absent Present
"Acanthopagrus latus" 1 0 Inf 2 6181 Absent Present
"Drosophila subobscura" 1 0 16287683 0 1661580 Absent Absent
"Arvicanthis niloticus" 1 0 Inf 2 10001 Absent Present
"Crassostrea angulata" 1 0 Inf 2 14292 Absent Present
"Xiphophorus maculatus" 1 0 Inf 2 1428 Absent Present
"Athalia rosae" 2 0 27026267 0 480036 Absent Absent
"Sander lucioperca" 1 0 Inf 2 1960 Absent Present
"Carcharodon carcharias" 1 0 Inf 2 925 Absent Present
"Microplitis demolitor" 4 0 Inf 0 3157467 Absent Absent
"Malania oleifera" 2 4 0 0 Inf Present Absent
"Catharus ustulatus" 1 0 Inf 2 12205 Absent Present
"Takifugu flavidus" 3 0 Inf 6 0 Absent Present
"Oreochromis aureus" 2 0 Inf 4 0 Absent Present
